keys,en,zh_TW
ui.settings,SETTINGS,設定
ui.render_scale,RENDER SCALE: %d%%,渲染比例：%d%%
ui.menu.quick_fly,Quick Fly,快速飛行
ui.menu.lab_mode,Lab Mode,實驗室模式
ui.menu.controller,Controller,控制器
ui.menu.drone,Drone,無人機
ui.menu.map,Map,地圖
ui.menu.settings,Settings,設定
ui.menu.quit,Quit,離開
ui.language,LANGUAGE,語言
ui.language.english,English,English
ui.language.traditional_chinese,繁體中文,繁體中文
ui.flight_setup.title,FLIGHT SETUP,飛行設定
ui.flight_setup.drone,DRONE: 5-INCH 6S,無人機：5 吋 6S
ui.flight_setup.map,MAP: Industrial Test Range,地圖：工業測試場
ui.flight_setup.wind_preset,WIND PRESET,風場預設
ui.flight_setup.mode,MODE: %s,模式：%s
ui.wind.calm,Calm,平靜
ui.wind.light,Light,微風
ui.wind.moderate,Moderate,中風
ui.wind.severe,Severe,強風
ui.action.fly,FLY,起飛
ui.action.back,BACK,返回
ui.action.apply,APPLY,套用
ui.action.reset_defaults,RESET DEFAULTS,重設預設值
ui.action.retry,RETRY,重試
ui.action.exit,EXIT,離開
ui.action.change_map,CHANGE MAP,變更地圖
ui.action.back_to_menu,BACK TO MENU,返回主選單
ui.settings.controller,CONTROLLER,控制器
ui.settings.rates,RATES,速率
ui.settings.graphics,GRAPHICS,圖形
ui.settings.factory_reset,FACTORY RESET SETTINGS,將設定恢復原廠
ui.settings.ready,Settings ready,設定就緒
ui.rates.title,BETAFLIGHT RATES,BETAFLIGHT 速率
ui.rates.disclaimer,SIM PROFILE: RC Rate / Super Rate / Expo affect ACRO mode only.,模擬設定檔：RC Rate／Super Rate／Expo 僅影響 ACRO 模式。
ui.rates.curve_preview,RATE CURVE PREVIEW (degrees/second),速率曲線預覽（度／秒）
ui.rates.json_title,JSON EXPORT / IMPORT,JSON 匯出／匯入
ui.rates.export,EXPORT JSON,匯出 JSON
ui.rates.import,IMPORT & APPLY JSON,匯入並套用 JSON
ui.controller.reset_xbox,RESET TO XBOX DEFAULT,重設為 XBOX 預設值
ui.controller.confirm_title,CONFIRM XBOX DEFAULT PROFILE,確認 XBOX 預設設定檔
ui.controller.use_xbox,USE XBOX DEFAULT PROFILE,使用 XBOX 預設設定檔
ui.controller.use_keyboard,USE KEYBOARD FALLBACK,使用鍵盤備援
ui.license.required,LICENSE REQUIRED,需要授權
ui.license.key_placeholder,Enter license key,輸入授權金鑰
ui.license.activate,ACTIVATE LICENSE,啟用授權
ui.license.diagnostics,DIAGNOSTICS,診斷資訊
ui.pause.title,PAUSED,已暫停
ui.pause.resume,RESUME,繼續
ui.hints,T Arm/Takeoff   P Pause   R Reset   C ACRO   H Alt Hold   Esc Exit,T 起飛   P 暫停   R 重設   C ACRO   H 高度保持   Esc 離開
ui.finish.title,FINISH,完成
ui.finish.summary,FINISH - Time %0.2f s,完成－時間 %0.2f 秒
ui.fallback.status,%s | Mode: %s,%s｜模式：%s
ui.rates.save_failed,Rates save failed: %s,儲存速率失敗：%s
